critical,high,medium,low,pattern_count,hash_match,extension_mismatch,file_size,macro_detected,pdf_js,embedded_file,packer_detected,suspicious_imports,yara_matches,label
3,1,7,4,10,1,0,4004.3539322806155,1,1,1,1,1,8,1
3,2,2,3,18,1,0,920.0254978595934,0,1,1,1,0,5,1
3,5,5,4,20,1,0,3027.8000662750883,0,1,1,0,1,8,1
3,1,3,3,12,0,0,3695.6620962660786,1,0,0,1,0,10,1
1,3,7,0,13,0,1,1870.8810921265572,0,1,1,1,0,20,1
0,4,8,3,15,0,1,3825.801305145326,0,1,0,1,0,20,1
1,0,2,6,1,0,0,451.8352337243476,0,0,0,0,0,2,0
0,4,6,2,6,1,0,1850.5153625510686,0,1,1,1,0,16,1
5,5,2,1,20,1,1,69.38933741197889,1,1,0,1,0,19,1
0,4,2,1,16,0,0,1031.3265872238012,1,0,1,1,1,12,1
3,6,4,2,8,1,0,4376.548504105415,0,1,1,0,0,20,1
0,0,3,5,2,0,1,1682.549284285337,0,0,0,0,0,4,0
0,1,0,2,2,0,0,2751.626305681398,0,0,0,0,0,0,0
0,2,1,2,2,0,0,1441.1983818661117,0,0,0,0,0,3,0
1,2,0,5,4,0,0,2578.5048459306704,0,0,0,0,0,2,0
0,0,1,1,1,0,1,832.5559830309187,0,0,0,0,0,1,0
0,0,0,2,0,0,1,350.80024717188826,0,0,0,0,0,2,0
0,2,1,2,1,0,0,2678.326355450164,0,0,0,0,0,0,0
1,2,2,1,3,0,1,2695.152230595992,0,0,0,0,0,2,0
4,6,3,3,9,1,1,3262.621430406167,1,1,1,0,0,10,1
1,0,2,2,0,0,0,2303.242678031934,0,0,0,0,0,3,0
0,1,2,3,10,1,0,2988.189270595269,1,0,1,1,1,10,1
1,2,3,1,1,0,0,1397.1426671787576,0,0,0,0,0,2,0
1,1,3,5,2,0,0,818.1998966308137,0,0,0,0,0,0,0
1,1,1,1,1,0,0,85.17951183562252,0,0,0,0,0,3,0
3,1,2,2,12,1,0,1064.1067105904199,1,1,0,1,1,9,1
1,2,6,2,8,1,0,1266.8191162002686,1,1,1,1,0,7,1
1,0,3,4,0,0,1,1425.4121986154828,0,0,0,0,0,4,0
4,6,4,2,8,0,0,175.53270987267683,1,1,1,1,1,7,1
2,6,7,0,11,0,0,4596.278506910429,0,1,1,1,1,6,1
0,1,3,2,3,0,1,2892.5078610875903,0,0,0,0,0,3,0
2,1,7,4,18,1,1,4657.484914947472,0,1,0,1,1,17,1
0,2,0,1,4,0,1,1991.1767862271965,0,0,0,0,0,2,0
1,1,0,6,1,0,1,2743.5096820651033,0,0,0,0,0,4,0
2,4,4,0,12,1,1,4180.008921612684,1,0,0,1,1,19,1
0,5,8,2,5,1,0,3114.6036225510147,0,1,1,1,1,19,1
4,1,7,4,9,0,0,1250.4123001590706,1,1,0,0,0,9,1
2,5,3,0,17,1,0,2941.015319261667,1,0,1,1,0,12,1
5,1,8,3,12,0,0,3951.991978088432,0,1,0,1,1,19,1
0,3,7,3,9,1,1,2790.8723392395555,0,1,0,1,0,14,1
1,0,1,3,4,0,1,1517.5259309807748,0,0,0,0,0,2,0
4,4,8,3,13,0,0,1564.422606987892,0,1,1,1,1,5,1
5,5,8,0,20,0,1,4290.231726941012,1,1,1,0,0,9,1
0,4,2,0,18,1,0,1281.4556948940137,1,0,1,0,0,9,1
1,1,3,1,10,0,0,4580.5397993931,1,0,0,1,0,20,1
0,1,4,0,6,0,1,2696.5322935155295,1,0,0,1,1,19,1
2,5,4,4,10,1,0,4675.684790223819,0,0,1,0,1,10,1
0,2,2,4,2,0,0,2015.9420994018303,0,0,0,0,0,0,0
0,0,3,6,2,0,1,927.1630853603758,0,0,0,0,0,0,0
2,3,8,2,6,1,0,1392.4157533992427,0,0,0,0,0,15,1
3,2,4,4,7,1,0,2099.0341569835236,0,1,0,1,0,12,1
1,1,3,1,1,0,0,2629.250787539199,0,0,0,0,0,3,0
0,3,3,0,11,1,1,4908.017227061251,0,0,0,1,0,19,1
1,2,3,5,4,0,0,828.8111160377049,0,0,0,0,0,0,0
4,5,3,3,13,1,0,768.846511646972,0,1,0,0,0,15,1
3,4,4,0,7,0,1,4058.871249486468,1,1,1,1,1,20,1
1,0,3,2,1,0,1,221.0533555295636,0,0,0,0,0,1,0
0,6,6,2,13,0,1,865.1583808172826,1,0,1,0,1,14,1
1,2,2,4,0,0,0,476.45324979949004,0,0,0,0,0,3,0
5,3,4,3,7,0,0,3984.465875256373,1,1,0,0,1,7,1
1,3,8,2,15,1,0,3615.521647038937,1,1,0,1,0,15,1
4,6,7,4,16,0,1,4247.112026435963,0,0,1,0,1,19,1
5,4,3,0,18,1,0,1165.8538091018122,0,1,0,0,0,10,1
1,2,2,6,4,0,1,2890.7201333076405,0,0,0,0,0,0,0
0,4,3,2,9,1,1,3766.362415771096,1,1,1,0,1,13,1
3,3,2,2,9,1,1,4653.134266815405,0,1,0,0,0,13,1
1,1,2,3,0,0,0,1007.2353938941254,0,0,0,0,0,4,0
1,0,0,6,2,0,1,2950.6901945032864,0,0,0,0,0,4,0
5,2,3,2,6,0,1,3718.299945406847,1,1,1,0,1,15,1
1,2,1,1,2,0,0,2652.799029577312,0,0,0,0,0,1,0
1,2,3,3,11,1,0,3621.41487122363,0,1,1,1,1,5,1
3,1,4,0,20,0,1,589.9544352526732,0,1,1,1,1,10,1
3,2,3,4,11,1,0,2259.7209681201325,0,1,1,1,0,15,1
4,6,6,0,9,1,1,3263.4488077132046,0,0,1,1,0,17,1
5,6,7,3,14,0,1,4756.879693013726,1,1,0,0,0,11,1
1,2,1,1,2,0,1,2010.1847066681783,0,0,0,0,0,4,0
4,1,3,0,8,1,0,599.1918771862007,1,1,0,0,0,18,1
1,1,3,6,2,0,0,1266.027626849014,0,0,0,0,0,0,0
1,1,2,5,1,0,1,2035.9355971473478,0,0,0,0,0,0,0
5,4,6,4,11,1,1,1157.8696469592328,1,0,1,0,1,19,1
1,0,0,2,0,0,1,2556.2171789272593,0,0,0,0,0,3,0
5,5,5,0,8,0,0,3180.9799033787363,1,1,0,0,1,16,1
0,0,0,5,2,0,1,71.47258650153958,0,0,0,0,0,4,0
0,0,3,2,3,0,0,1808.373773737647,0,0,0,0,0,3,0
0,0,0,2,2,0,0,146.23166167458416,0,0,0,0,0,2,0
0,0,1,4,4,0,0,692.5270925310284,0,0,0,0,0,2,0
0,0,2,2,4,0,0,376.08542474368795,0,0,0,0,0,2,0
5,4,2,1,6,1,1,3559.8143967225333,1,1,1,0,1,13,1
0,4,4,1,10,0,0,1579.4727860099154,0,1,0,1,0,11,1
2,6,3,3,6,0,1,2751.0960843721437,0,1,0,0,0,20,1
1,0,1,1,1,0,0,577.8809264323917,0,0,0,0,0,1,0
1,2,2,1,3,0,1,2388.559636022664,0,0,0,0,0,1,0
4,4,8,4,9,1,1,1440.936732494151,1,1,1,0,0,17,1
1,2,3,2,4,0,0,2534.544681373993,0,0,0,0,0,4,0
3,3,7,1,7,0,0,1786.6872547411201,1,0,0,1,0,16,1
0,1,3,2,4,0,1,2987.356487721498,0,0,0,0,0,4,0
0,2,0,5,1,0,1,2196.8359110808656,0,0,0,0,0,1,0
1,6,7,3,12,1,1,3900.4517756625405,0,0,1,1,1,14,1
4,6,8,0,12,0,0,1427.0696738664205,1,0,1,1,1,19,1
1,2,0,1,2,0,1,1059.6868666273103,0,0,0,0,0,0,0
0,0,1,6,2,0,1,708.8498563636473,0,0,0,0,0,3,0
0,3,2,3,9,1,1,2552.7104904075295,1,1,1,0,0,15,1
2,6,6,2,11,1,1,283.47657663375935,0,1,0,0,1,16,1
4,6,4,1,8,1,0,2601.181159886804,0,0,0,0,1,13,1
4,6,6,2,10,1,0,2568.4325517339735,1,1,0,1,0,5,1
0,1,4,3,8,1,0,727.2773141156908,1,1,0,1,0,15,1
0,3,2,4,16,1,1,4113.728863217913,0,1,0,0,1,11,1
4,6,6,3,7,1,1,1542.1529610616017,1,1,0,0,0,14,1
